77,88,80,44,1
85,40,35,85,47
56,57,44,63,41
69,55,10,89,3
17,48,0,22,25
3,8,68,37,18
3,63,64,75,74
43,82,14,37,87
56,71,43,32,9
4,2,73,84,69
11,52,54,48,26
54,20,41,96,8
87,1,21,65,20
28,64,13,14,86
23,80,54,37,53
61,78,70,11,26
99,6,25,62,33
83,62,24,19,12
68,85,32,20,80
39,46,69,17,88
52,59,94,88,45
95,39,44,36,29
67,6,39,40,41
27,13,8,60,77
49,23,77,41,65
18,70,65,76,61
4,53,49,25,93
64,62,4,81,53
80,65,2,100,65
60,24,2,11,13
4,16,17,56,17
47,72,56,79,92
77,3,92,15,86
17,74,66,3,64
83,61,3,63,47
12,31,34,2,62
1,16,61,32,46
75,62,31,95,69
11,23,88,91,50
44,70,73,55,80
11,6,15,18,88
93,88,38,11,95
89,93,19,99,12
66,100,32,85,59
34,9,45,3,57
59,56,64,22,3
57,34,21,20,57
28,21,14,46,66
77,46,25,7,90
68,13,84,91,39
25,6,85,64,30
81,87,50,79,42
23,84,0,50,78
38,40,28,29,29
16,5,15,47,3
76,28,84,52,54
39,5,36,77,31
14,9,93,79,37
89,1,2,35,21
44,92,68,89,88
42,54,70,5,15
92,99,28,67,8
89,1,35,89,58
59,6,71,45,44
96,56,66,43,63
82,90,12,86,93
60,14,56,59,61
41,52,6,38,97
40,17,1,88,22
8,32,93,27,33
20,0,11,81,42
31,7,55,3,58
52,30,15,24,97
7,96,3,77,11
50,8,1,18,77
69,27,46,59,75
58,7,5,46,89
14,59,77,22,27
6,61,65,6,99
63,65,48,3,33
83,12,69,6,44
47,41,4,12,86
52,75,51,58,1
51,97,3,84,52
20,36,75,64,20
81,68,81,92,72
87,97,18,92,45
98,11,77,76,6
72,75,64,66,61
95,47,19,55,21
83,29,64,56,97
34,39,24,37,0
19,34,67,67,35
32,39,28,18,86
5,66,57,88,55
9,11,100,14,53
41,74,72,75,44
17,17,4,30,23
17,44,68,53,43
14,24,18,100,36
68,61,24,45,60
64,80,29,45,33
43,49,91,71,88
68,25,40,59,58
85,76,74,86,55
15,100,30,26,7
22,59,26,70,83
74,43,67,76,91
11,48,28,77,45
16,19,45,92,76
33,64,85,71,36
83,84,63,77,60
5,10,57,58,8
29,80,89,57,93
28,40,30,12,61
87,68,12,38,49
46,4,65,65,10
34,8,2,92,58
28,65,33,66,42
68,41,41,68,75
7,95,82,76,31
22,23,22,86,14
60,9,7,13,81
58,82,68,75,52
34,48,9,50,72
48,60,51,62,90
93,73,71,49,37
41,6,89,39,29
35,72,23,97,11
32,8,25,8,49
25,95,23,19,30
61,38,6,94,4
66,42,91,76,53
11,84,38,6,28
78,99,31,67,96
25,89,16,34,7
92,94,93,83,95
24,14,96,55,5
64,47,52,36,42
64,97,65,98,8
69,26,29,82,42
1,83,31,13,48
24,96,17,51,45
68,82,58,19,23
5,30,26,25,56
43,53,41,65,6
99,62,26,7,87
47,60,73,100,69
20,24,95,46,64
25,72,18,51,58
27,9,86,77,73
23,41,14,36,75
54,44,32,73,6
33,64,17,84,62
41,68,54,86,14
94,10,31,52,40
58,58,20,9,66
20,71,19,14,5
62,10,91,50,23
24,53,47,27,79
20,58,96,26,78
97,80,76,65,13
24,54,70,60,99
93,10,32,30,51
65,20,52,98,64
48,27,23,18,95
23,7,8,81,16
29,5,20,80,31
69,65,80,25,0
49,7,55,48,0
44,28,7,65,22
52,53,25,60,2
72,52,8,1,31
68,63,21,65,20
97,18,37,5,50
59,76,4,38,17
49,42,16,35,36
96,61,52,100,91
69,33,37,47,52
15,61,33,38,19
40,71,84,64,31
30,60,4,60,22
14,18,25,87,86
77,73,42,60,51
99,80,36,31,2
25,53,2,89,94
83,34,87,88,83
60,1,59,41,55
92,58,27,78,44
20,49,0,24,16
10,13,48,41,1
82,38,86,35,15
67,68,100,1,52
119,163,148
63,37,22,73,26
100,6,43,96,41
68,64,4,75,96
16,44,16,58,37
70,3,41,24,29
69,42,84,51,25
15,56,74,79,71
97,15,74,32,50
77,94,39,62,87
32,59,93,20,84
36,39,85,46,37
94,92,37,66,55
92,8,13,27,27
35,74,41,44,73
18,0,74,6,89
94,12,33,20,97
13,11,70,77,37
5,32,65,91,32
46,34,12,83,74
68,13,53,82,71
97,34,58,48,15
90,53,94,10,82
27,52,6,23,50
24,100,65,49,20
11,94,78,38,49
35,37,74,81,67
74,55,27,9,96
1,83,68,92,99
13,24,61,22,17
64,66,71,62,61
92,28,67,73,32
66,75,42,84,90
52,11,68,83,57
86,68,24,27,58
69,7,23,79,34
64,39,60,90,48
63,24,76,86,89
12,92,34,56,52
57,50,89,30,48
28,11,30,93,87
42,29,62,79,25
79,12,30,17,53
37,68,83,96,58
58,60,97,33,78
19,85,41,87,74
56,44,46,98,40
36,16,10,15,92
12,19,37,31,12
69,60,6,65,31
58,81,74,52,91
42,36,72,99,63
21,96,14,71,90
74,89,3,34,77
69,44,45,96,71
34,84,34,100,70
69,4,1,100,6
45,4,25,12,39
68,61,6,83,84
55,30,85,25,63
19,21,42,99,81
43,6,71,39,33
0,20,86,31,58
62,1,61,78,93
59,88,43,94,69
93,33,100,16,47
91,39,46,56,0
28,47,21,23,15
51,32,8,86,94
78,93,74,0,28
10,74,48,26,93
27,3,36,96,16
76,39,51,27,18
71,42,21,30,58
63,50,50,89,8
71,84,13,87,73
68,32,18,55,55
70,68,71,20,98
54,30,31,41,4
25,79,50,94,76
22,82,62,86,68
19,20,30,43,45
83,15,57,5,27
32,91,27,17,77
57,80,26,53,74
79,80,79,83,63
63,35,4,68,0
52,38,87,10,73
29,38,47,99,98
6,28,53,79,92
60,79,0,43,87
5,31,26,72,8
43,51,10,96,6
2,83,51,39,79
13,4,27,28,84
57,44,93,49,53
31,35,9,53,49
99,88,33,86,96
9,92,47,60,89
74,25,20,70,55
33,58,83,39,4
46,52,66,73,26
38,27,25,74,32
66,45,38,89,15
44,53,40,98,73
87,60,18,1,66
44,96,60,62,28
28,15,7,27,19
74,90,49,79,48
17,20,19,7,25
45,76,67,43,22
20,17,11,69,31
13,5,59,10,34
91,2,8,99,67
41,58,31,68,78
45,57,5,63,98
65,62,62,5,24
8,71,93,97,71
58,62,56,44,42
49,75,60,86,48
32,10,0,22,76
44,64,8,62,9
65,51,37,2,65
91,81,31,99,26
76,65,73,6,15
0,99,59,8,18
17,28,33,50,53
73,21,74,23,57
79,5,21,38,34
92,25,76,97,51
45,48,50,20,44
26,58,88,67,87
83,64,3,15,37
6,7,50,64,0
57,89,61,27,16
6,5,91,12,6
51,2,24,8,80
99,88,76,51,62
34,59,45,57,44
35,53,76,1,98
33,85,92,46,63
42,26,99,26,36
28,0,61,51,81
9,5,56,20,13
73,83,17,92,28
51,56,78,40,70
65,66,7,28,58
5,47,37,17,47
53,32,30,6,40
22,33,20,81,7
97,90,62,5,49
19,2,43,88,69
45,51,44,17,3
15,33,2,89,13
32,99,19,15,68
85,42,72,9,14
92,1,17,31,23
34,20,40,88,45
45,69,57,24,96
27,83,25,12,65
13,27,93,59,97
25,81,18,4,60
